"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","PID","ProcessName","ProcessPath","CreationTime"
"127.0.0.1","5010","0.0.0.0","0","Listen","28864","python","C:\Users\Nebula\AppData\Local\Programs\Python\Python312\python.exe","4/12/2026 18:34:36"
"0.0.0.0","5005","0.0.0.0","0","Listen","14132","python","C:\Users\Nebula\AppData\Local\Programs\Python\Python312\python.exe","4/12/2026 18:35:25"
"127.0.0.1","5004","0.0.0.0","0","Listen","44224","python","C:\Users\Nebula\AppData\Local\Programs\Python\Python312\python.exe","4/12/2026 18:35:39"
"127.0.0.1","5003","0.0.0.0","0","Listen","20400","python","C:\Users\Nebula\AppData\Local\Programs\Python\Python312\python.exe","4/12/2026 18:36:08"
"127.0.0.1","5002","0.0.0.0","0","Listen","17744","python","C:\Users\Nebula\AppData\Local\Programs\Python\Python312\python.exe","4/12/2026 18:48:37"
"0.0.0.0","5001","0.0.0.0","0","Listen","47292","python","C:\Users\Nebula\AppData\Local\Programs\Python\Python312\python.exe","4/12/2026 18:38:54"
"0.0.0.0","5000","0.0.0.0","0","Listen","47800","python","C:\Users\Nebula\AppData\Local\Programs\Python\Python312\python.exe","4/12/2026 18:33:57"
"0.0.0.0","912","0.0.0.0","0","Listen","6908","vmware-authd",,"4/12/2026 12:33:44"
"0.0.0.0","902","0.0.0.0","0","Listen","6908","vmware-authd",,"4/12/2026 12:33:44"
"192.168.246.1","139","0.0.0.0","0","Listen","4","System",,"4/12/2026 12:33:37"
"192.168.56.1","139","0.0.0.0","0","Listen","4","System",,"4/12/2026 12:33:37"
"192.168.46.1","139","0.0.0.0","0","Listen","4","System",,"4/12/2026 12:42:05"
"192.168.1.17","139","0.0.0.0","0","Listen","4","System",,"4/12/2026 12:33:43"
"10.5.0.2","139","0.0.0.0","0","Listen","4","System",,"4/12/2026 12:34:05"
"0.0.0.0","135","0.0.0.0","0","Listen","2260","svchost",,"4/12/2026 12:33:43"
