"FullPath","Name","Extension","SizeKB","Created","Modified","Accessed","Directory","SuspiciousExt","Hidden"
"C:\Users\Nebula\AppData\Local\Temp\a240f143-e37b-4beb-a26a-ba1a3ba8b874.tmp","a240f143-e37b-4beb-a26a-ba1a3ba8b874.tmp",".tmp","0","4/12/2026 18:26:22","4/12/2026 18:26:22","4/12/2026 18:26:22","C:\Users\Nebula\AppData\Local\Temp","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\SOC-101\vmware.log","vmware.log",".log","221.95","1/20/2026 19:02:09","4/12/2026 18:24:59","4/12/2026 18:24:59","C:\Users\Nebula\Documents\Virtual Machines\SOC-101","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server\vmware.log","vmware.log",".log","275.56","3/19/2026 14:26:23","4/12/2026 18:23:22","4/12/2026 18:23:22","C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server","False","0"
"C:\ProgramData\Microsoft\EdgeUpdate\Log\MicrosoftEdgeUpdate.log","MicrosoftEdgeUpdate.log",".log","6986.1","11/16/2025 18:44:30","4/12/2026 18:22:12","4/12/2026 18:22:12","C:\ProgramData\Microsoft\EdgeUpdate\Log","False","0"
"C:\ProgramData\Whesvc\pool_tags_summary\pool_tags_summary_2026-04-12_22_18_07_117.json","pool_tags_summary_2026-04-12_22_18_07_117.json",".json","7.08","4/12/2026 18:18:07","4/12/2026 18:18:07","4/12/2026 18:18:07","C:\ProgramData\Whesvc\pool_tags_summary","False","0"
"C:\ProgramData\Seagate\DiscWizard\GaDatabase\timers.db","timers.db",".db","16","7/27/2025 14:44:57","4/12/2026 18:15:00","4/12/2026 18:15:00","C:\ProgramData\Seagate\DiscWizard\GaDatabase","False","0"
"C:\ProgramData\Seagate\DiscWizard\GaDatabase\timers.db-wal","timers.db-wal",".db-wal","72.45","4/10/2026 19:21:58","4/12/2026 18:15:00","4/12/2026 18:15:00","C:\ProgramData\Seagate\DiscWizard\GaDatabase","False","0"
"C:\Users\Nebula\Documents\Obsidian-Vault\Personal\.obsidian\workspace.json","workspace.json",".json","8.02","12/4/2025 22:20:12","4/12/2026 18:12:45","4/12/2026 18:12:45","C:\Users\Nebula\Documents\Obsidian-Vault\Personal\.obsidian","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\SOC-101\SOC-101.scoreboard","SOC-101.scoreboard",".scoreboard","7.44","1/20/2026 19:02:09","4/12/2026 18:11:51","4/12/2026 18:11:51","C:\Users\Nebula\Documents\Virtual Machines\SOC-101","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\SOC-101\SOC-101.vmx","SOC-101.vmx",".vmx","4.84","4/12/2026 18:11:50","4/12/2026 18:11:50","4/12/2026 18:11:50","C:\Users\Nebula\Documents\Virtual Machines\SOC-101","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\SOC-101\SOC-101.vmdk.lck\M19256.lck","M19256.lck",".lck","0.5","4/12/2026 18:11:50","4/12/2026 18:11:50","4/12/2026 18:11:50","C:\Users\Nebula\Documents\Virtual Machines\SOC-101\SOC-101.vmdk.lck","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\SOC-101\564dfebb-ef8b-89c2-c48b-32862440c8ef.vmem","564dfebb-ef8b-89c2-c48b-32862440c8ef.vmem",".vmem","8388608","4/12/2026 18:11:50","4/12/2026 18:11:50","4/12/2026 18:11:50","C:\Users\Nebula\Documents\Virtual Machines\SOC-101","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\SOC-101\564dfebb-ef8b-89c2-c48b-32862440c8ef.vmem.lck\M47021.lck","M47021.lck",".lck","0.5","4/12/2026 18:11:50","4/12/2026 18:11:50","4/12/2026 18:11:50","C:\Users\Nebula\Documents\Virtual Machines\SOC-101\564dfebb-ef8b-89c2-c48b-32862440c8ef.vmem.lck","False","0"
"C:\Users\Nebula\AppData\Roaming\VMware\preferences.ini","preferences.ini",".ini","5.36","4/12/2026 18:11:49","4/12/2026 18:11:49","4/12/2026 18:11:49","C:\Users\Nebula\AppData\Roaming\VMware","False","0"
"C:\Users\Nebula\AppData\Roaming\obsidian\IndexedDB\app_obsidian.md_0.indexeddb.leveldb\000120.log","000120.log",".log","3340.33","4/5/2026 02:20:50","4/12/2026 18:08:44","4/12/2026 17:40:46","C:\Users\Nebula\AppData\Roaming\obsidian\IndexedDB\app_obsidian.md_0.indexeddb.leveldb","False","0"
"C:\Users\Nebula\AppData\Roaming\Microsoft\Spelling\en-US\default.acl","default.acl",".acl","0","7/20/2025 20:54:10","4/12/2026 18:05:06","4/12/2026 18:05:06","C:\Users\Nebula\AppData\Roaming\Microsoft\Spelling\en-US","False","0"
"C:\Users\Nebula\AppData\Roaming\Microsoft\Spelling\en-US\default.exc","default.exc",".exc","0","7/20/2025 20:54:10","4/12/2026 18:05:06","4/12/2026 18:05:06","C:\Users\Nebula\AppData\Roaming\Microsoft\Spelling\en-US","False","0"
"C:\ProgramData\SteelSeries\GG\db\database.db","database.db",".db","652","7/21/2025 02:27:30","4/12/2026 18:04:07","4/12/2026 18:04:07","C:\ProgramData\SteelSeries\GG\db","False","0"
"C:\ProgramData\NVIDIA Corporation\NVIDIA App\UXD\Log.nvcontainer.exe.log","Log.nvcontainer.exe.log",".log","1391.77","7/18/2025 05:57:26","4/12/2026 18:04:06","4/12/2026 18:04:06","C:\ProgramData\NVIDIA Corporation\NVIDIA App\UXD","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server\Wazuh-Server.scoreboard","Wazuh-Server.scoreboard",".scoreboard","7.3","3/19/2026 14:26:23","4/12/2026 18:03:38","4/12/2026 18:03:38","C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server\Wazuh-Server.vmx","Wazuh-Server.vmx",".vmx","3.68","4/12/2026 18:03:37","4/12/2026 18:03:37","4/12/2026 19:05:33","C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server\Wazuh-Server.vmdk.lck\M16922.lck","M16922.lck",".lck","0.5","4/12/2026 18:03:37","4/12/2026 18:03:37","4/12/2026 18:03:37","C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server\Wazuh-Server.vmdk.lck","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server\Wazuh-Server-000001.vmdk.lck\M39685.lck","M39685.lck",".lck","0.5","4/12/2026 18:03:37","4/12/2026 18:03:37","4/12/2026 18:03:37","C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server\Wazuh-Server-000001.vmdk.lck","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server\mksSandbox.log","mksSandbox.log",".log","56.31","3/19/2026 14:26:25","4/12/2026 18:03:37","4/12/2026 18:03:37","C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server\564d1286-510f-c0a7-9c87-8c31540e6c62.vmem","564d1286-510f-c0a7-9c87-8c31540e6c62.vmem",".vmem","8388608","4/12/2026 18:03:37","4/12/2026 18:03:37","4/12/2026 18:03:37","C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server\564d1286-510f-c0a7-9c87-8c31540e6c62.vmem.lck\M60787.lck","M60787.lck",".lck","0.5","4/12/2026 18:03:37","4/12/2026 18:03:37","4/12/2026 18:03:37","C:\Users\Nebula\Documents\Virtual Machines\Wazuh-Server\564d1286-510f-c0a7-9c87-8c31540e6c62.vmem.lck","False","0"
"C:\Users\Nebula\AppData\Local\Temp\vminst.log","vminst.log",".log","4829.12","3/7/2026 08:05:28","4/12/2026 18:03:20","4/12/2026 18:03:20","C:\Users\Nebula\AppData\Local\Temp","False","0"
"C:\Users\Nebula\AppData\Local\Temp\vminst.log","vminst.log",".log","4829.12","3/7/2026 08:05:28","4/12/2026 18:03:20","4/12/2026 18:03:20","C:\Users\Nebula\AppData\Local\Temp","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01\Windows 11x01.vmx.lck\M24221.lck","M24221.lck",".lck","0.5","4/12/2026 18:03:20","4/12/2026 18:03:20","4/12/2026 18:03:20","C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01\Windows 11x01.vmx.lck","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Kali Purple\Kali Purple.vmx.lck\M56584.lck","M56584.lck",".lck","0.5","4/12/2026 18:03:20","4/12/2026 18:03:20","4/12/2026 18:03:20","C:\Users\Nebula\Documents\Virtual Machines\Kali Purple\Kali Purple.vmx.lck","False","0"
